Density Values:
(4.00, 4.00, 4.00, 4.24)
(1.33, 4.00, 4.00, 4.38)
(-1.33, 4.00, 4.00, 4.52)
(-4.00, 4.00, 4.00, 4.67)
(4.00, -1.33, 4.00, 1.73)
(1.33, -1.33, 4.00, 1.84)
(-1.33, -1.33, 4.00, 1.94)
(-4.00, -1.33, 4.00, 2.05)
(4.00, 1.33, 4.00, -0.72)
(1.33, 1.33, 4.00, -0.67)
(-1.33, 1.33, 4.00, -0.62)
(-4.00, 1.33, 4.00, -0.57)
(4.00, 4.00, 4.00, -3.23)
(1.33, 4.00, 4.00, -3.21)
(-1.33, 4.00, 4.00, -3.20)
(-4.00, 4.00, 4.00, -3.18)
(4.00, 4.00, -1.33, 4.07)
(1.33, 4.00, -1.33, 4.28)
(-1.33, 4.00, -1.33, 4.48)
(-4.00, 4.00, -1.33, 4.69)
(4.00, -1.33, -1.33, 1.48)
(1.33, -1.33, -1.33, 1.68)
(-1.33, -1.33, -1.33, 1.87)
(-4.00, -1.33, -1.33, 2.07)
(4.00, 1.33, -1.33, -1.00)
(1.33, 1.33, -1.33, -0.85)
(-1.33, 1.33, -1.33, -0.69)
(-4.00, 1.33, -1.33, -0.54)
(4.00, 4.00, -1.33, -3.53)
(1.33, 4.00, -1.33, -3.41)
(-1.33, 4.00, -1.33, -3.30)
(-4.00, 4.00, -1.33, -3.18)
(4.00, 4.00, 1.33, 4.04)
(1.33, 4.00, 1.33, 4.27)
(-1.33, 4.00, 1.33, 4.49)
(-4.00, 4.00, 1.33, 4.72)
(4.00, -1.33, 1.33, 1.41)
(1.33, -1.33, 1.33, 1.64)
(-1.33, -1.33, 1.33, 1.87)
(-4.00, -1.33, 1.33, 2.10)
(4.00, 1.33, 1.33, -1.14)
(1.33, 1.33, 1.33, -0.93)
(-1.33, 1.33, 1.33, -0.72)
(-4.00, 1.33, 1.33, -0.52)
(4.00, 4.00, 1.33, -3.66)
(1.33, 4.00, 1.33, -3.50)
(-1.33, 4.00, 1.33, -3.34)
(-4.00, 4.00, 1.33, -3.17)
(4.00, 4.00, -4.00, 4.08)
(1.33, 4.00, -4.00, 4.30)
(-1.33, 4.00, -4.00, 4.53)
(-4.00, 4.00, -4.00, 4.75)
(4.00, -1.33, -4.00, 1.43)
(1.33, -1.33, -4.00, 1.67)
(-1.33, -1.33, -4.00, 1.90)
(-4.00, -1.33, -4.00, 2.14)
(4.00, 1.33, -4.00, -1.17)
(1.33, 1.33, -4.00, -0.95)
(-1.33, 1.33, -4.00, -0.73)
(-4.00, 1.33, -4.00, -0.51)
(4.00, 4.00, -4.00, -3.75)
(1.33, 4.00, -4.00, -3.55)
(-1.33, 4.00, -4.00, -3.36)
(-4.00, 4.00, -4.00, -3.16)

Density Buffer:
(4.00, 4.00, 4.00, 4.24)
(1.33, 4.00, 4.00, 4.38)
(-1.33, 4.00, 4.00, 4.52)
(-4.00, 4.00, 4.00, 4.67)
(4.00, -1.33, 4.00, 1.73)
(1.33, -1.33, 4.00, 1.84)
(-1.33, -1.33, 4.00, 1.94)
(-4.00, -1.33, 4.00, 2.05)
(4.00, 1.33, 4.00, -0.72)
(1.33, 1.33, 4.00, -0.67)
(-1.33, 1.33, 4.00, -0.62)
(-4.00, 1.33, 4.00, -0.57)
(4.00, 4.00, 4.00, -3.23)
(1.33, 4.00, 4.00, -3.21)
(-1.33, 4.00, 4.00, -3.20)
(-4.00, 4.00, 4.00, -3.18)
(4.00, 4.00, -1.33, 4.07)
(1.33, 4.00, -1.33, 4.28)
(-1.33, 4.00, -1.33, 4.48)
(-4.00, 4.00, -1.33, 4.69)
(4.00, -1.33, -1.33, 1.48)
(1.33, -1.33, -1.33, 1.68)
(-1.33, -1.33, -1.33, 1.87)
(-4.00, -1.33, -1.33, 2.07)
(4.00, 1.33, -1.33, -1.00)
(1.33, 1.33, -1.33, -0.85)
(-1.33, 1.33, -1.33, -0.69)
(-4.00, 1.33, -1.33, -0.54)
(4.00, 4.00, -1.33, -3.53)
(1.33, 4.00, -1.33, -3.41)
(-1.33, 4.00, -1.33, -3.30)
(-4.00, 4.00, -1.33, -3.18)
(4.00, 4.00, 1.33, 4.04)
(1.33, 4.00, 1.33, 4.27)
(-1.33, 4.00, 1.33, 4.49)
(-4.00, 4.00, 1.33, 4.72)
(4.00, -1.33, 1.33, 1.41)
(1.33, -1.33, 1.33, 1.64)
(-1.33, -1.33, 1.33, 1.87)
(-4.00, -1.33, 1.33, 2.10)
(4.00, 1.33, 1.33, -1.14)
(1.33, 1.33, 1.33, -0.93)
(-1.33, 1.33, 1.33, -0.72)
(-4.00, 1.33, 1.33, -0.52)
(4.00, 4.00, 1.33, -3.66)
(1.33, 4.00, 1.33, -3.50)
(-1.33, 4.00, 1.33, -3.34)
(-4.00, 4.00, 1.33, -3.17)
(4.00, 4.00, -4.00, 4.08)
(1.33, 4.00, -4.00, 4.30)
(-1.33, 4.00, -4.00, 4.53)
(-4.00, 4.00, -4.00, 4.75)
(4.00, -1.33, -4.00, 1.43)
(1.33, -1.33, -4.00, 1.67)
(-1.33, -1.33, -4.00, 1.90)
(-4.00, -1.33, -4.00, 2.14)
(4.00, 1.33, -4.00, -1.17)
(1.33, 1.33, -4.00, -0.95)
(-1.33, 1.33, -4.00, -0.73)
(-4.00, 1.33, -4.00, -0.51)
(4.00, 4.00, -4.00, -3.75)
(1.33, 4.00, -4.00, -3.55)
(-1.33, 4.00, -4.00, -3.36)
(-4.00, 4.00, -4.00, -3.16)
